"Термин ""биосфера"" был введен в 1875 году"	Эдуардом Зюссом
Томас Роберт Мальтус в 1778 г., издал трактат «Опыт о законе народонаселения». В нем он ввел так называемый «Вечный закон». Его формулировка гласит:	«Население растет в геометрической пропорции, в то время как материальные блага в арифметической пропорции» 
Высокий уровень урбанизации в стране обычно определяет _________коэффициент рождаемости.	низкий
Страна, в которой в конце ХХ века проводилась сама жесткая демографическая политика, направленная на снижение рождаемости:	Китай
При доступности систем частного и государственного пенсионного обеспечения коэффициент рождаемости __________.	низкий
В 1950-х годах в промышленно развитых странах началась «зеленая революция», обусловленная	созданием новых сортов сельскохозяйственных растений и интенсивным применением химических средств их защиты и минеральных удобрений 
Организация в мире, занимающаяся учетом производства продовольствия:	FAO
Какова средняя суточная норма потребности человека в кал?	?
В какой стране на 1 человека приходится 0,8 га пашни?	Россия
В структуре мирового земельного фонда леса составляют ____ % от общей площади.	30
Поступление в водоемы биогенных элементов, вызывающих бурный рост водорослей, называется процессом:	эвтрофикации
Массово используемый в середине ХХ века пестицид, за открытие свойств которого Пауль Мюллер получил Нобелевскую премию в 1948 году, называется ____	ДДТ
В сельском хозяйстве пестициды применяют для:	борьбы с вредителями 
Сера, используемая в качестве пестицида, по степени своего воздействия на живые организмы относится к группе пестицидов:	мало опасных
Какое максимальное количество минеральных удобрений в кг/га считается допустимым в нашей стране?	?
Наука о методах создания и совершенствования сортов культурных растений и пород домашних животных, основанных на отборе организмов с требуемыми характеристиками, называется:	селекцией
В какой стране в настоящее время не выращиваются генетически модифицированные сельскохозяйственные культуры?	Россия
Мировой улов рыбы в пересчете на душу населения перестал расти и даже снизился в период:	с 1990 по 2000 г. 
Высокая биологическая продуктивность шельфовой зоны Мирового океана связана с:	поступлением минеральных веществ 
Направление аквакультуры, занимающееся разведением или выращиванием морских гидробионтов - водорослей, моллюсков, ракообразных и рыб, называется	марикультура
Зеленая революция в мире проходила в несколько этапов. Сколько было этапов или волн зеленой революции?	2
"Автором книги ""Безмолвная весна"", вышедшей в 1962 году в США и с которой началось движение против применения пестицидов, является:"	Рейчел Карсон 
Каким типом пищи можно накормить большее количество людей?	растительная
Гуано используют как удобрение в качестве источника:	фосфора
Развитие марикультуры ограничено:	сильными волнами
Объекты и явления природы, которые на данном уровне развития общества используются или могут быть использованы в качестве средств производства и предметов потребления называются:	природные ресурсы
К исчерпаемым потенциально возобновимым природным ресурсам относятся:	водные ресурсы 
Прогнозы запасов минеральных ресурсов 1950-х годов не оправдались, потому что были:	ориентированными на рентабельность 
Совершенствование технологических процессов добычи негорючих полезных ископаемых позволило вести разработку месторождений с более ..... содержанием минерала в руде.	низким
Образование глубоких карьеров происходит при ... способе добычи полезных ископаемых.	открытом
Планируется ли в мире добыча железа и марганца на дне Мирового океана?	да
Страна, в которой вторичное использование бумаги значительно и составляет около 40 %:	Германия 
Основная причина недостаточности вторичного использования сырья в:	низкой рентабельности 
Изначально вторичному использованию бумаги способствовало такое обстоятельство, как:	недостаток первичного сырья 
Цены на полезные ископаемые в мире, начиная с 1970-х годов, имеют тенденцию к:	уменьшению
Сколько процентов составляет пресная вода в общей структуре глобальных запасов воды на планете?	2.5
Континент, испытывающий наибольший дефицит водных ресурсов с учетом обеспеченности водой на 1 человека:	Азия
Во сколько раз возросло общее потребление водных ресурсов в мире за последние сто лет (ХХ век)?	10
"Наибольшее потребление водных ресурсов в мировом хозяйстве связано с:
"	сельскохозяйственным производством 
Наиболее строгими нормативами качества воды являются:	рыбохозяйственные
Аральское море существует за счет стока двух крупнейших рек:	Сырдарьи и Амударьи 
"Негативные последствия проекта преобразования ""Голодной степи"" состоят в:"	обмелении Аральского моря 
Был ли в США осуществлен грандиозный план переброски пресных вод?	нет
Китайский проект по переброске вод реки Янцзы предусматривает переброску воды:	с юга на север
Всемирный день водных ресурсов отмечается:	22 марту
К неисчерпаемым природным ресурсам относят:	геотермальную энергию 
С позиции рационального природопользования стратегия обеспечения исчерпаемыми невозобновимыми ресурсами заключается в:	снижении потерь при добыче и транспортировке 
В России в настоящее время наибольшее водопотребление приходится на:	промышленность
"Максимальный расход воды на 1 т продукции характерен для производства:

"	резины
Хватит ли человечеству природных запасов серебра в ближайшие 40 лет?	да
К традиционным способам получения электроэнергии относятся:	тепловые электростанции 
К середине ХХ века основным источником энергии в мире становится:	нефть
К странам экспортерам нефти группы ОПЕК относится:	Нигерия
Нефтяной (американский) баррель является единицей измерения объема нефти и составляет ..... литров.	159
Первый энергетический кризис в ХХ веке произошел в .... году.	1973
Видеокамеры инфракрасного диапазона использовали во время энергетического кризиса 1970-х годов для:	обнаружения мест потери тепла в домах 
Технологические особенности повышения энергоэффективности жилых домов заключались в:	установке стеклопакетов 
Нагрев воды солнцем относится к способу использования солнечной энергии, получившим название:	пассивное использование
За семь лет с 1975 года по 1982 год длина пробега легковых автомобилей за 1 л топлива в среднем увеличилась в:	1.7 раза
К альтернативному способу получения электроэнергии относятся:	ветрогенераторы
Смена основного энергоносителя в середине ХХ века при переходе от угля к нефти могла быть связана с исчерпанием запасов угля.	нет
Архитектурные технологии повышения энергоэффективности жилых домов заключались в:	уменьшении площади поверхности к объему 
Пассивное использование солнечной энергии позволяет:	нагревать воду 
Мог ли первый энергетический кризис привести к возврату использования дров в индивидуальных домах?	да
"""Солнечная архитектура"" направлена на:"	использование энергии света для обогрева 
Явление повышения температуры атмосферы из-за увеличения содержания в ней СО2, СН4, ХФУ, N2О, приводящее к чрезмерному поглощению воздухом теплового излучения Земли называется Парниковым эффектом.	да
Соединения: СО2, СН4, ХФУ, N2О, - называются ... газами	парниковыми
Парниковый эффект проявляется в:	росте числа природных катастроф 
При повышении уровня Мирового океана могут быть затоплены территории такого государства, как:	бангладеш
Наблюдалось ли в последние 2 тыс. лет замерзание Чёрного моря?	да
Последствием потепления климата может быть:	распространение тропических болезней на территориях с умеренным климатом 
Произошло ли за посление 30 лет уменьшение объема летних льдов в Арктике в 3-4 раза?	да
Наука, методы которой позволяют определить климат прошлого:	гляциология
Принцип, принятый на международной конференции в Рио-де-Жанейро в 1992 году и гласящий, что в тех случаях, когда существует угроза серьезных необратимых экологических нарушений, отсутствие полной научной определенности не должно использоваться в качестве основания для того, чтобы откладывать принятие экономически эффективных мер по предотвращению экологической деградации, называется принципом ...	?
Наибольшие выбросы углекислого газа в атмосферу дает такая отрасль, как:	электроэнергетика
Наибольшая доля электроэнергии в мире производится на:	тепловых электростанциях 
Использование ветрогенераторов позволяет в настоящее время получать чуть больше ...% от всей вырабатываемой в мире электроэнергии (впишите целую цифру).	?
Наибольший % электроэнергии, полученной на атомных электростанциях, в общем энергобалансе страны производится в:	Франции
У производства электроэнергии на тепловых электростанциях основной недостаток:	эмиссия диоксида углерода в атмосферу 
Основным преимуществом работы атомных электростанций является:	небольшие объемы потребляемого топлива 
К преимуществу использования солнечных батарей относится:	отсутствие химического загрязнения окружающей среды при их эксплуатации 
Нагрев воды напрямую от солнечных лучей получил название ... использование солнечной энергии.	пасиивное
Недостатком работы ветрогенераторов является:	высокий уровень шумового загрязнения
Основной недостаток приливных электростанций, из-за которого их до сих пор построено очень мало:	высокая себестоимость
Основным недостатком получения электроэнергии на геотермальных электростанциях является:	химическое загрязнение
Одним из преимуществ выработки электроэнергии на тепловых электростанций является:	возможность сочетать выработку электроэнергии с производством тепла для отопления зданий 
Такое негативное последствие, как эвтрофикация водоема, с последующим разрастанием фитопланктона и замором рыб характерно для производства электроэнергии на:	гидроэлектростанциях
Первая в мире атомная электростанция была построена и запущена в СССР в г. Обнинске Калужской области в ... году.	1954
Первая в мире промышленная приливная электростанция была построена в:	Франции
Верно ли утверждение, что установки пассивного использования солнечного света эффективны в условиях умеренного климата:	да
Авария на Чернобыльской атомной электростанции произошла 26 апреля ... года.	1986
Основная причина аварии на Чернобыльской АЭС:	проведение эксперимента 
Чернобыльская атомная электростанция расположена на территории:	Украины
После аварии на Чернобыльской АЭС наибольшее количество радиоактивных осадков (примерно 60 %) выпало над территорией:	Белорусии
Страна, в которой законодательно запретили использование ядерной энергии для производства электроэнергии:	Новая Зеландия
Авария на Чернобыльской АЭС произошла на энергоблоке:	4
Город энергетиков, где жили сотрудники Чернобыльской атомной электростанции, называется:	Припять
Полная остановка работы Чернобыльской АЭС была осуществлена в ... году.	2000
Конструкция сооруженного в ноябре 1986 года саркофага над взорвавшимся реактором представляла собой:	достроенные стены реактора 
Сильнейшее землетрясение в Японии 11 марта 2011 года привело к аварии на атомной электростанции Фукусима. Потребовалась ли эвакуация населения, проживающего рядом с АЭС?	да
Увеличение концентрации химических, физических и биологических агентов сверх обычных значений в окружающей среде называется	загрязнением
Может ли газ озон считаться загрязнителем у поверхности земли?	да
Предельно допустимая концентрация (ПДК) загрязняющих веществ:	высокая концентрация, не вызывающая никаких патологических изменений 
Верно ли утверждение, что предельно допустимая концентрация (ПДК) загрязняющего вещества должна быть существенно ниже установленного в опытах уровня регистрируемого воздействия на организмы?	да
Наиболее чувствительным к воздействию загрязняющих веществ является организм на стадии:	эмбриогенеза
Биологическое загрязнение чаще всего происходит в результате поступления в водоемы	бытовых сточных вод 
Наибольшие объемы выбросов загрязняющих веществ в окружющую среду производят такие отрасли промышленности, как:	электроэнергетика
Как правило, в крупных городах России (пример - Москва) основным источником загрязнения атмосферного воздуха является:	автотранспорт
Кислотными осадками называются все виды метеорологических осадков - дождь, снег, туман, град, дождь со снегом, - рН которых меньше значения ...(укажите цифру и используйте точку вместо запятой для отделения десятичных значений)	5.6
Наиболее чувствительными к воздействию кислотных осадков являются:	хвойные деревья 
К отрицательным последствиям фотохимического смога относится:	осложнение бронхита и астмы 
Автомобили переводят на сжиженный газ, потому что:	снижается выброс углекислого газа по сравнению с бензиновыми двигателями 
Озоновый экран в стратосфере важен для живых организмов, так как выполняет функцию защиты от:	ультрафиолетового излучения 
Озоновый экран в стратосфере разрушается под воздействием:	хлорфторуглерода
По статистическим данным основной причиной заболеваемости и смертности людей является:	травматизм
Шумовое воздействие относится к виду загрязнения:	физическому
Вымывание кальция из организма животных и человека является следствием:	кислотных осдаков
Основным источником загрязнения почв свинцом являются:	автомобильный транспорт
Негативным последствием истощения озонового слоя Земли в стратосфере является:	повышение заболеваемости раком кожи 
Принятие Венской конвенции в 1985 году и последующее подписание в 1987 году Монреальского протокола были направлены на:	защиту озонового слоя
Вся совокупность мер, используемых для обеспечения долгосрочной экологической безопасности с учетом экономических возможностей и социальных потребностей общества, называется:	экологической политикой 
Экологический мониторинг как направление контроля за состоянием окружающей среды в нашей стране начал функционировать с:	начала 1970-х годов 
Экологический норматив качества окружающей среды, регламентирующий загрязняющие вещества в воздухе, называется:	ПДВ
Совокупность сведений - экономических, экологических, организационных и технических показателей о составе и категориях пользователей, количественном и качественном состоянии ресурсов и их оценке называется:	кадастром
Земли сельскохозяйственного назначения в структуре земельного фонда Российской Федерации в соответствии с данными государственного кадастра составляют чуть более... %.	20
Экологическая экспертиза относится к группе методов экологической политики, получивших название:	предупредительные
Федеральный закон - Об экологической экспертизе - был принят в России в ... году.	1995
Экологический аудит предприятия проводится по решению:	самого предприятия 
Международные стандарты ISO 14000 направлены на:	создание системы экологического менеджмента 
Ведущая роль в осуществлении государственного экологического контроля в РФ принадлежит:	Министерству природных ресурсов и экологии 
В иерархии экологических нормативных актов Российской Федерации главенструющая роль принадлежит:	Федеральным Законам 
Действующий в настоящее время в Российской Федерации закон - Об охране окружающей среды - был введен в действие в ... году.	2002
Основные поступления финансовых средств в экологические фонды РФ обеспечиваются платой за:	загрязнение окружающей среды 
Экологические штрафы, платежи, налоги и иные финансовые взыскания в системе экономического механизма управления природопользованием относятся к методам:	принудительынм
"Приоритетным направлением - Зеленой экономики - на ближайшее время является:
"	повышение энергоэффективности 
Верно ли утверждение, что экологическая экспертиза может быть двух видов - государственной и общественной?	да
Специальное изучение хозяйственных и технических проектов с целью установления их соответствия намечаемой хозяйственной деятельности экологическим требованиям, нормам и регламентам называется:	экологической экспертизой 
К экономическим методам регулирования природопользования относится:	платеж за пользование ресурсами 
Международные стандарты ISO 14000 для предприятий и различных организаций являются:	добровольными
К предупредительным мерам в системе экономического механизма управления природопользованием в Российской Федерации относятся:	кредиты
